CellID,Hoechst_1,E-cadherin,panCK,Lamin B,Hoechst_2,Laminin,Vimentin,CD3D,Hoechst_3,Lamin AC,CK7,Collagen IV,X_centroid,Y_centroid,Area,MajorAxisLength,MinorAxisLength,Eccentricity,Solidity,Extent,Orientation
1,106.03926096997691,102.4284064665127,106.74942263279446,108.99422632794457,75.50115473441109,75.37759815242494,71.06235565819861,88.83025404157044,123.35796766743648,147.0635103926097,109.51963048498845,109.63048498845265,5908.04272517321,20.750577367205544,866,47.15445056886247,24.716151874105684,0.8516240474581072,0.9222577209797657,0.7240802675585284,0.07477270173613945
2,106.5479570637119,102.6461218836565,108.14906509695291,110.00519390581718,92.87274930747922,93.54830332409972,89.43611495844875,115.74653739612188,124.50138504155125,150.26921745152356,109.71035318559557,109.71970221606648,5786.078427977839,55.93767313019391,5776,117.92646728774535,72.49124076339923,0.7887488280304622,0.8837209302325582,0.6563636363636364,-0.5254388445728537
3,106.62894450489662,101.46626768226334,107.50979325353646,111.8854733405876,66.40097932535365,66.54597388465723,64.09466811751905,85.1240478781284,95.00897714907508,117.71599564744287,87.50652883569097,89.70810663764962,816.0712731229597,70.26659412404788,3676,127.86883220197934,38.5730727799332,0.9534151694970453,0.9415983606557377,0.9036381514257621,-1.5643507720705911
4,106.6359017781541,101.51363251481796,108.14360711261642,111.56646909398815,67.5571549534293,68.03217612193056,65.38712955122777,86.65723962743438,96.66553767993226,120.79712108382726,88.8748518204911,90.7354784081287,1041.3100762066047,70.6567315834039,5905,207.0126889370439,39.16017804784292,0.9819447360499926,0.882660687593423,0.8506194180351484,1.5684684705383785
5,106.79117892976589,101.63754180602007,107.32357859531773,110.88336120401338,67.95840301003345,68.53846153846153,64.86308528428094,86.70192307692308,97.21258361204013,120.83674749163879,88.81939799331104,90.22742474916387,1406.6584448160536,70.69126254180603,4784,165.98617608669025,39.03994646988343,0.971946997567701,0.9157733537519143,0.8401826484018264,-1.5546610559961456
6,119.83365323096609,115.53326935380679,193.57485604606526,117.30006397952656,126.7424824056302,116.30486244401791,124.37747920665387,250.21209213051824,129.94305822136917,149.00479846449136,110.49552143314139,110.70441458733205,2137.4811260396673,162.4216250799744,3126,82.6207881378036,54.784585222589676,0.7485443240590562,0.816827802456232,0.6578282828282829,1.0356173989934492
7,118.52286282306163,115.48359840954275,190.12823061630218,118.68836978131213,107.48658051689861,107.54771371769384,103.30566600397614,134.54572564612326,119.31212723658052,148.7589463220676,108.62226640159045,111.29970178926442,2275.0094433399604,162.4324055666004,2012,52.56947650093757,51.26613466749943,0.221293509854809,0.9030520646319569,0.7896389324960753,0.9865416052170644
8,120.24020959735246,116.43325979040264,193.861555432984,118.25703254274683,114.54329840044126,112.39823496966355,112.11389961389962,171.46469939327082,118.9434638720353,148.77799227799227,108.87755102040816,111.08218422504137,2212.9900717043574,165.37948152233866,3626,95.64123600992868,54.43478193881567,0.8222295689964408,0.8144654088050315,0.6939712918660287,-1.521355303288586
9,105.20505438259757,100.7763915547025,105.52847088931541,109.20985284708892,107.30358285348689,107.21113243761997,102.20505438259757,131.73000639795265,117.63051823416507,147.5127959053103,109.68138195777351,111.12316058861164,106.30550223928343,217.91618682021752,3126,74.60845088626702,55.70233448902133,0.6652782451437802,0.9052997393570807,0.7878024193548387,-1.1000697107338213
10,139.98684210526315,229.66486068111456,1484.8653250773993,219.9388544891641,109.03095975232198,108.30417956656346,105.38467492260062,143.96439628482972,125.82662538699691,149.10835913312692,109.85216718266254,113.0657894736842,9190.985294117647,316.9597523219814,1292,49.00899349963547,33.70656496276284,0.7259354409769158,0.9605947955390335,0.7755102040816326,-0.0580484183641026
11,104.81836033382424,100.18703976435935,105.50171821305842,108.27196858124694,107.08198330878743,106.91114383897889,102.64555719194894,131.86254295532646,116.96858124693176,146.19391261659302,108.85321551300933,110.55571919489445,95.38438880706921,416.9587628865979,2037,58.70685295575373,46.273882564147705,0.615394279865089,0.8871951219512195,0.7715909090909091,0.579626401337144
12,227.67352941176472,105.48529411764706,130.87058823529412,111.10882352941177,107.53823529411764,108.7,104.41470588235295,143.05,126.57352941176471,151.70882352941177,110.29705882352941,114.74117647058823,11205.120588235293,403.66470588235296,340,23.61648434265485,18.409579070396845,0.6263743240517341,0.9631728045325779,0.7456140350877193,-1.2184208000319217
